Category,Quantity,References,Value,LCSC Part #,Footprint
Capacitors,10,"C1,C2,C3,C6,C9,C10,C11,C12,C23,C35",100nF,C694249,0603_CAP
Capacitors,2,"C5,C26",220uF,C96175,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,1,C21,470uF,C2836436,CAP SMD 10.5X10MM ALUMINUM 470UF/35V
Capacitors,1,C22,47uF,C250030,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,1,C34,10uF,C304002,1206_CAP
Resistors,9,"R1,R2,R3,R4,R9,R10,R11,R12,R32",10k,C73809,0603_RES
Resistors,5,"R5,R6,R7,R44,R56",1K,C269704,0603_RES
Resistors,1,R8,10K,C73809,0603_RES
Resistors,11,"R13,R14,R15,R16,R21,R22,R23,R24,R29,R38,R43",4.7K,C269713,0603_RES
Resistors,5,"R17,R18,R19,R20,R36",220,C351666,0603_RES
Resistors,4,"R25,R26,R27,R28",680,C203730,0603_RES
Resistors,2,"R33,R34",330,C351654,0603_RES
Resistors,1,R35,1k,C269704,0805_RES
Resistors,2,"R37,R63",10k,C73809,0805_RES
Resistors,1,R64,1k,C269704,0603_RES
Resistors,1,R84,470,C328426,0603_RES
Integrated Circuits,1,U1,74HC14,C507186,DIL14
Integrated Circuits,5,"U3,U4,U6,U9,U14",PC817XI1J,C41807,PC817XI1J
Integrated Circuits,1,U5,MC7812BDTRKG,C126398,TO228P1003X238-3
Integrated Circuits,1,U7,TS78M05CP,C131137,TS78M05CP
Integrated Circuits,1,U10,DS3231SN,C9866,SOIC127P1032X265-16N
Integrated Circuits,1,U11,"LM2576-3,3",C194472,TO170P1410X464-6
Integrated Circuits,1,U18,AT24C512B,C81193,SO8
Transistors,4,"Q01,Q02,Q03,Q04",LED smd 0603,C84268,LEDC2012X120
Transistors,1,Q05,LED smd 0603,C84268,LEDC1608X60
Transistors,1,Q10,FQD11P06TM,C719783,DPAK-N
Diodes,4,"D01,D02,D03,D04",1n4007 Smd Do-214,C727081,SOD2614X116
Diodes,2,"D8,D9",LED smd 0603,C434424,NULL
Diodes,1,D28,SS14-TP,C78082,DIOM5226X230N
Diodes,1,D29,B330A-13-F,C110485,DIOM5226X230N
Miscellaneous,7,"12V,3.3V,5V,ENTRADAS,FUENTE,LED MQTT,LED WI-FI",TBLOCK-M2,,TBLOCK-M2
Miscellaneous,1,BAT1,3V,,BAT 3V EG
Miscellaneous,2,"DEEP SLEEP,PRG",,C388295,BUTTON SMD
Miscellaneous,1,ESP1,ESP-12E,,NODE MCU V3 LOLIN
Miscellaneous,1,F1,1A,C182308,FUSE SMD
Miscellaneous,2,"J1,MOSFET",TBLOCK-M3,,TBLOCK-M3
Miscellaneous,4,"L01,L02,L03,L04",LED smd 0603,C84268,LEDC1608X60
Miscellaneous,1,LCD,CONN-H4,,CONN-SIL4
Miscellaneous,1,NODEMCU,CONN-H15,,SIL-100-15
Miscellaneous,1,PW,LED-RED,C375458,LEDC2012X120
Miscellaneous,4,"RELAY1,RELAY2,RELAY3,RELAY4",12 Vcc. 10 Amp,,117211503
Miscellaneous,1,RELES,,,TBLOCK-M6
Miscellaneous,1,RST,BOTON 90 TH,,118250272
Miscellaneous,1,ULN2803,ULN2803,C2758014,SOP18
Miscellaneous,1,USBTC1,USB TIPO C EG,C168703,MOLEX_2047110001
Miscellaneous,1,WI FI,,,118250272
